L10
contact     聯絡
contain     包含
continue    後續
The snow continue to fall all day   這場雪下了一整天
contract    (名)契約、(動)訂約
sign a contract     簽約
control     控制
conversation    繪畫；談話
corn    玉米
ears of corn    玉米鬚
countryside     鄉下
couple      夫妻；結合；成婚
courage     勇氣
take courage    鼓起勇氣
trial  試驗；試用；審判；惹麻煩的人；考驗；模擬考試
tail    尾巴
legal   合法的
legal cases     法律案件；訴訟
present     禮物；贈品；出席的；存在的；現在目前的；展現；提交；介紹
officails       官員的；公職的；公務的；官方正式的；公開公布的；官員；高級職員
deciding    決定性的
guilty  內疚自責的；有過失有罪的；
court       a place where trials and other legal cases happen, or the people present in such a place, especially the officials and those deciding if comeone is guilty.
appear in court     出庭
cowboy  牛仔
crayon      /ˈkreɪ.ɑːn/蠟筆
cream       (名)奶油、(形)奶油色的
puff    喘氣；吸(菸)；吹；噴出；一小口(煙霧)；泡芙；吹捧文字
puff and pant   氣喘吁吁
cream puff      懦夫、泡芙
create  創造
crime   /kraɪm/ illegal activities；違法行為；犯罪活動；罪刑；不能接受的行為；愚蠢的做法
crisis      /ˈkraɪ.sɪs/危機；極其困難的時期；緊要關頭
Crisis is an opportunity        危機就是轉機
commit a crime  犯罪
expert  專家
crow    烏鴉
as the crow flies   直線地
crowd   (名)人群、(動)擠滿；靠近；盯著；
cultural    文化的、文藝的





L11
culture     文化
culture shock   文化衝擊
cure        治療
illness     疾病；生病
The illness can be cured        這種病可以治癒
curious     好奇的；稀奇的；古怪的
I am curious about the story       我對這個故事感到好奇
current     (形)目前的；(名)水流；潮流
affair      事務；事情；事件；(尤指秘密)性關係
current affairs     時事
curtain     (名)窗簾；簾狀物；帷幕、(動)裝上簾子
cutain call         謝幕
custom  習俗
customer    客戶
cycle   循環
life cycle  生命週期
daily   (形)每天的；(副)每日；(名)傭人
damage  損壞
dancer      舞者
danger      危險
in danger   身陷危險
data    資料
deaf    /def/耳聾的；不願聽的；充耳不聞的
fall on deaf ears   置若罔聞 (雖有耳聞，卻好像沒有聽到一樣不加理會)
debate      /dɪˈbeɪt/辯論
a debate on something   關於...的辯論
debt         /det/債務；欠款
in debt     負債
decision    決定 
deer    鹿
herd    獸群；人群；放牧
There is a herd of deer running     有一群鹿正在奔跑
degree      程度
by degree   漸漸地
delay   延遲
delicious   美味的
deliver     遞送
deliver the goods   履行諾言
delivery    傳遞
recorded delivery   掛號郵件





L12
dentist     牙醫
deny        否認
department      部門；科系
depend      依賴
It depend.      視情況而定
depth       /depθ/深度
out of one's depth  某人無法理解
descript    描寫
description     描述
beggar  乞丐；傢伙；使極度貧窮
beggar description  難以描述
desert  (名)沙漠、(動)拋棄
design  設計
have design on  企圖得到抹某物
detail      (名)細節、(動)詳述
develop     發展
development     發展
housing development     住宅區
dial    (名)錶盤；旋鈕、(動)打電話；撥號
dialogue    對話
diamond     鑽石
diamond wedding     鑽石婚(結婚七十五年或六十週年紀念)
diary   日記
diet    (名)飲食、(動)節食
on diet     節食
different   差異
the world of different  兩碼子事
difficult   困難
with difficult  有困難地
direct  (形副)直接的(地)、(動)指揮
direct mail     直接郵寄的廣告信
direction   方向
sence of direction  方向感
director    指揮者；導演
