L16
exact   正確的
exactly     精確地；確切地；正好恰好；究竟
What exactly do you mean?    你究竟是什麼意思
examination/exam    考試
sit for     應考；任(某選區)的議會議員
Frank will sit for an examination in English tomorrow   法蘭克明天會參加英文考試
examine     檢查；考核
excite  刺激
excitement  (名)(情緒上喚醒的狀態)興奮
thrill  (名)(由情緒引起的顫抖)興奮；激動；緊張感、(動)(使)興奮激動緊張 
Helen felt a thrill of excitement   海倫感到一陣激動
excuse  原諒
Excuse me   使用於要說或做可能令人不悅的事情之前、禮貌發問前，因為怕打擾對方的發語詞
Sorry   造成別人不便之後，表示歉意、做錯事情後道歉、表達遺憾的感覺（通常用於聽到對方親人過世、發生憾事、生活不順時
Pardon       做錯事道歉時、談話中提出不同想法之前、沒聽清對方的話，希望他重複一遍時、（以不友好的語氣）不同意對方的話
Apologize   對人道歉 to；因某事道歉 for
exist   存在
existence   存在
bring into existence    成立
exit    (名)出口、(動)出去
expense     花費
at one's expense    某人出錢
export      (名)專家、(形)專家的
express     (動)表達、(形)快速的、(副)以快遞方式寄送地、(名)快遞
expression  表達 
facial expression   臉部表情
extra   (形)額外的、(副)另外、(名)另外付費就可得到的額外物品
extra time  球賽延長
eyebrow/brow     /ˈaɪ.braʊ/眉毛
He raises his eyebrow   他大吃一驚
factor  (名)因素、(動)把...因素計入
factor in   列入
failure     /ˈfeɪ.ljɚ/失敗
fair    (形)公平的、(名)市集、(副)公正地
false   假的；人工的；虛偽的；虛假的；錯誤的
fashion (名)時尚、(動)手工製作





L17
fate    命運
as sure as fate 命中注定
fault   (名)錯誤、(動)弄錯
It is entirely your fault   全是你的錯
favor   (名)喜好、(動)支持
curry   (名)咖哩、(動)討好；拍馬屁；用咖哩烹調；梳洗馬匹
curry favor with    討好；巴結
favorite    (形)最喜愛的、(名)特別喜愛的人或物
fear    害怕
without fear or favor   不偏不倚；中庸之道 · 畸輕畸重 · 一點也沒有偏差
feature     (名)特色、(動)以...為特色
fee     費用
parking fee     停車費
feeling     感覺
ill feeling     反感
good feeling    好感
fellow  (名)人、(形)同伴的
He is a nice fellow     他是一個好人
female  (形)女(性)的、(名)女性
fever       發燒
field   /fiːld/念法跟 feeled 很像；田野；運動場；
the field   實地；現場
Kim is famous in the field of music     金在音樂界很有名
in the field of     在...方面
fighter     戰士
fire fighter    消防隊員
figure      (名)外形；數字；圖表、(動)角色扮演；認為認定；出現；參加
She saw a short figure in pink      她看見一個穿粉紅色矮個子的人影
final   (形)最後的、(名)決賽
fireman/firewoman   消防隊員
firm    (名)公司、(形)堅固的、(動)使穩固、(副)穩固地
Jay bought a firm mattress  杰買了一張堅固的床墊
fisherman   漁夫
fit     (動)適合於、(形)適合的、(名)合身
keep fit    健身
fix     (動)修理、(名)操縱
flag    旗幟
Flag Day    美國國旗紀念日
flat    (形)平坦的；(麵包)未發酵的；不積極的；不感興趣的；沒了氣的；(銷售)無增長的、(副)水平地、(名)公寓
fall    跌倒摔倒；減少降低；落下降落
fall flat   直挺挺地倒下
He falls flat on his face   他撲倒在地





L18
flight      飛行器
flow    流動
go with the flow    隨遇而安
flu     流行性感冒
focus   (名)焦點、(動)聚焦
fog     (名)霧氣、(動)使困惑
in the fog  困惑
folk    民間
folk music      民謠
following   (形)以下的、(介)在...以後、(名)追隨者
fooling     愚蠢的
football    足球
force   (名)力量、(動)迫使
bring something into force  實施
forest  森林
forgive     原諒
form    (名)形式、(動)形成
take form   漸漸形成
formal  正式的
former  之前的
a shadow of one's former self    威風不再
forth   向前方  
bring forth     發表
forward     (形)前面的、(名)前鋒、(動)轉寄、(副)向前地
forwards    向前地
backwards and forwards 來回地
found   建立    
fox     狐狸
sly     /slaɪ/狡猾的；詭秘的
as sly as a fox     像狐狸一樣狡猾
freedom     自由
friendship  友誼
strike  罷工；突然侵襲；使受折磨；擊打；碰撞；(時鐘)報時
strike up a friendship      開始友誼
fries   薯條
fry     (動)煎；炒、(名)小魚
