L30
path        路徑
walk along      沿著走
We walk along a path        我們沿小徑走
patient     (名)病人、(形)耐心的
pattern     (名)圖案、(動)加上花樣
pattern something on something      模仿
peace       和平
hold one's peace        抱持沉默
During the ceremony, the officiant asked if anyone had objections, and she chose to hold her peace, not wanting to disrupt the event.       在儀式上，主持人問有沒有人提出異議，她選擇保持沉默，不想打擾活動。
peaceful        和平的
peach       桃子
peak        (名)山頂、(動)達到顛峰
peak time           高峰期
pear            /per/梨子
prickly         /ˈprɪk.li/多刺的；刺痛的；癢的、易動怒的，易生氣的
prickly pear        仙人掌果
per             /pɚ/每
perfect         (形)完美的、(動)做完、(名)完成式
period          期間
come to a period        結束
personal        個人的
personality      (名)個性
phrase          /freɪz/(名)片語、(動)以...方式(措辭)表達
Coin a phrase       套一句老話
pillow      枕頭
pillow talk         枕邊絮語
pizza       披薩
plain       (形)平坦的、(名)平原、(副)完全地
The answer is plain to see      答案顯而易見
platform        平台
playground          運動場
on the playground       在運動場
pleasant        愉快的
plus        (介)加上、(名)加號、(形)正的
plus or minus       多少、正負
The measurement was 10 meters, plus or minus 2 meters, indicating that the actual length could be between 8 and 12 meters.      測量結果為10米，誤差為±2米，表示實際長度可能在8到12米之間。
poem        /ˈpoʊ.əm/詩作
poet            /ˈpoʊ.ət/詩人
poetry          詩文
a poetry reading        詩歌朗誦





L31
poison          (名)毒、(動)毒殺
poison pen letter       匿名毀謗信
policeman/cop       警察
policy      政策
pop         (名)流行音樂、(形)流行的
population      人口
an increase in population       人口增加
pork            豬肉
port        港口
pose        (動)擺姿勢、(名)姿勢
hold this pose      保持這種姿勢
position        (名)地點、(動)把...在適當的位置
positive            (形)積極的、(名)正面
possibility         可能性
post        (名)郵件、郵局、(動)分發
postcard        明信片
pound       磅
powerful        有力量的
praise          /preɪz/讚揚
skies       （某種天氣狀況下或某地的）天空
praise somebody to the skies        高度讚揚
critics         批評家
protrayal       /pôrˈtrā(ə)l/描繪
outstanding         傑出的
After he performance, the critics praised the actor to the skies for his outstanding protrayal of the character.        演出結束後，評論家對這位演員極高度讚譽，稱讚他出色地詮釋了角色。
pray        祈禱
prayer      禱告
on a wing and a prayer      準備不充分但又希望成功
funding         資助、資金提供
With hardly any funding and a staff of six, they were operating on a wing and a prayer.         幾乎沒有什麼資金而且只有6名員工，他們的經營如履薄冰。
president       總統





L31
press           (名)記者們、(動)按壓
press conference        記者招待會
pressure        (名)壓力、(動)強迫
put pressure on somebody        強迫
pride       (名)驕傲、(動)自豪
proud       自豪的
Proud of you        為你驕傲
priest          /priːst/牧師；神父
primary         (形)最初的、；主要的
prince          王子
princess        公主
principal       /ˈprɪn.sə.pəl/(形)首要的、(名)首長；校長
principle        /ˈprɪn.sə.pəl/原則
on principle        根據原則
print       (名)印刷物、(動)列印
printer         印表機
prison          /ˈprɪz.ən/監牢
prisoner        囚犯
prisoner of war         戰俘
private         (形)私人的
prize       (名)獎品、(動)重視
consolation         安慰;慰藉;給人帶來安慰的事物
consolation prize       安慰獎
produce         (動)產生、(名)農產品
production      生產
on production of something      出示某物
progress        (名)進展、(動)進行
in progress         進行中
project         計畫
promise         承諾
proper          適當
good and proper         徹底
