L26
mystery                         神秘
naked                            裸體的
bare                               (形)裸露的、(動)使裸露、使赤裸
nude                              (名)裸體、(形)裸體的
Emily saw a naked man running on the street                 艾蜜莉看到一位裸男在街上跑
nap                                 (名)午睡、(動)小睡
napkin                            餐巾
napkin ring                     餐巾環
native                              (形)天生的、(名)本國人
a native speaker             母語使用者
navy                                海軍
neat                                /niːt/整潔的、clean、orderly
He wears a neat brown shirt                 他穿著乾淨的咖啡色襯衫
necessity                        /nəˈsesəti/必需品
The recognize the necessity for a written agreement             我们认为有必要签订一份书面协议。
virtue                              /ˈvɜːrtʃuː/美德
make a virtue of necessity          遷就不如意之事
He led a life of virtue                     她過著高尚的生活
paragon                         /ˈpærəɡɑːn/杰出典范，尽善尽美的人，完人
She was certainly no paragon of virtue              它絕不是道德高尚的典範
necktie                          領帶，tie 則可以表示各種帶子，像是彩帶或鞋帶之類的
neighborhood              鄰近地區
-hood                           時期
childhood                     童年
likelihood                     可能
nest                              (名)鳥巢、(動)築巢
foul                               /faʊl/(動)犯规;污染、(形)恶劣的;难闻的；令人不快的、(名)犯規
foul somebody's own nest            家醜外揚
nickname                     綽號
normal                         正常的
per                               /pər/每
as per normal               照慣例
novelist                        小說家
nun                              /nʌn/修女；尼姑
oak                              /oʊk/橡樹
observe                       觀察
observe something           觀察某事物
occasion                     場合
I've met him  on several occasion           我曾見過他幾次
a sense of occasion                 隆重氣氛
odd                             古怪的
an odd fish                 古怪的人
omit                            /əˈmɪt/省略
If you are a student, you can omit question 16-18           學生可以忽略16-18題
ongoing                     進行中的
Those are ongoing projects              那些是進行中的專案
