roast                               (形)烘烤的、(名)烤肉、(動)烘烤
rob                                 /rɑːb/搶劫
rob one's blind               騙錢 (騙你眼瞎)
robbery                          搶案
robe                                /roʊb/長袍
rocket                              火箭
give one a rocket            痛罵
romantic                         (形)浪漫的、(名)浪漫主義者
candlelit                          /ˈkændllɪt/燭光的
They had a romantic candlelit dinner            他們共度浪漫的燭光晚餐
rot                                  腐敗
rot away                         爛掉
rotten                             /ˈrɑːtn/腐化的
a rotten apple                害群之馬
rough                             (形)粗糙的、(副)粗魯地、(名)草圖
in rough                         大致上
roughly                          大體上；大致上；粗略地
roughly speaking            大致上來說
routine                           (名)例行公事、(形)常規的
rug                                 小地毯
rumor                             (名)謠言、(動)謠傳
rumor has it that            據說
rush                                (名)匆忙、(動)衝；奔跑
rust                                 /rʌst/鐵鏽
pipe coverd with rust           生鏽的管子
rust away                        鏽壞
sack                                /sæk 阿/(名)粗布袋；開除；搶劫、(動)解雇
handles                          (名)把手、(動)處理；應付
storing                            (動)保存、(名)儲存
flour                               麵粉
coal                                煤炭
 a large bag with no handles, made of strong rough material or strong paper or plastic, used for storing and carrying, for example flour, coal, etc.                沒有把手的大袋子，由堅固的粗糙材料或堅固的紙或塑膠製成，用於儲存和攜帶，例如麵粉、煤炭等。
get the sack                    被解雇
sake                                /seɪk 欸/緣故
for the sake of                 為了
salary                               薪水
increase                            /ɪnˈkriːs/增加
She got a 5% salary increase            她加薪百分之五
satisfactory                       令人滿意的
sauce                                醬汁
soy sauce                          醬油
saucer                               /ˈsɔːsər/托盤
flying saucer                     飛碟
sausage                             /ˈsɔːsɪdʒ/臘腸
not a sausage                   門都沒有(沒有臘腸)
saving(s)                           救助
face saving                        愛面子
scale(s)                              (名)刻度、(動)攀登
scale something down                縮小範圍





35
scarce                                  /skers/稀少的
Water is becoming scarce                水源越來越稀缺
scarf                                    /skɑːrf/圍巾
scary                                   /ˈskeri/駭人的
scatter                                 散佈
scatter over                         在 ... 上面散佈
scholar                                 學者
scholarship                          獎學金
win a scholarship                 贏得獎學金
scientific                              /ˌsaɪənˈtɪfɪk/科學的
She has been a scientific advisor for one year              她當科學顧問一年了
scientist                               科學家
scissors                                /ˈsɪzərz/剪刀
nail scissors                         指甲剪
scout                                   /skaʊt/(名)童子軍、(動)偵查
They sent two man out in front as scouts            他們派兩人在前面偵查
scream                                  尖叫
screw                                       /skruː/(動)旋、(名)螺絲、螺絲釘
screwdriver                             螺絲起子
have/has a screw loose              行為古怪
scrub                                       /skrʌb/(名)擦洗、(動)擦掉
Scrub the vegetables clean                  把蔬菜洗乾淨
scrub off                               擦掉
seal                                        /siːl/(名)海豹、(動)補海豹；關閉；密封器具
security                                    安全
security risk                           危險事物（或人物）;不可靠分子;隱憂
semester                                /sɪˈmestər/學期
senior                                      (名)年長的、(名)前輩
sensible                                /ˈsensəbl/可感覺的；明智的；合理的；明顯得
be sensible of                      感覺
separation                              分離
a clear separation                  徹底分離
sexual                                      性慾的
glands                                      /glændz/腺
sexual glands                           性腺
sexy                                            性感的
shadow                                      (名)影子、(動)遮蔽
under the shadow of                 被...掩蓋





L36
shallow                             淺的
shallow end of pool                 淺水區
shampoo                         (名)洗髮精、(動)洗髮
a shampoo and a set             洗髮做造型
shepherd                         /ˈʃepərd/(名)牧人、(動)帶領
towards                             /tɔːrdz/向；朝；接近
The man shepherded Emma towards a seat          男子帶領艾瑪到位置上
shiny                               晴朗的
shorten                             縮短
shortened version           簡短版本
shortly                             不久
shovel                              /ˈʃʌvl/(名)鏟子、(動)鏟
shrimp                              /ʃrɪmp/小蝦
cocktails                           雞尾酒
shrimp cocktails               番茄醬蘸ㄓㄢˋ蝦
shrink                               收縮
shrink from                         迴避
sign                                    (名動)嘆息；簽名；符號
"Today us not my day," he signed            他嘆氣到，今天運氣真差
signal                                  (名)訊號、(動)發訊號
turn signal                         打方向燈
significant                         有意義的
significant other                   (有特別關係的人)另一半
silk                                    絲綢
Silk Road                           絲路
similarity                          類似
bear                                (名)熊、(動)支撐；承受；生育
Jason bears a similarity to his father              傑森和他爸爸相似
sin                                     (名)罪、(動)犯戒律
moral                                 /ˈmɔːrəl/道德
moral sin                           大罪
The seven deadly sins           七大罪：貪婪、嫉妒、貪吃、淫慾、傲慢、憤怒和懶惰
sincere                                 /sɪnˈsɪr/真誠的
regret                                  (名)後悔；遺憾；失望、(動)感到...
sincere regret                      虔誠的遺憾
sink                                    (名)水槽、(動)沉默
sink your differences              消除你們的分歧
sip                                     啜飲
situation                           情勢
skate                                   /skeɪt/溜冰
skate on the ice                如履薄冰
ski                                     /skiː/(名)滑雪板、(動)滑雪
go skiing                           去滑雪
skillful                                熟練的
skinny                              皮包骨的
