L40
sweat                               (名)汗水、(動)出汗；擔心
He gets in a sweat about failing the exam           他擔心考試不及格
swell                                腫起來；腫脹、增加
ground swell                    與論高漲
swift                                迅速的
He si a swift runner                    他是跑得很快的人
sword                              /sɔːrd/劍
cross sword                                 與某人言論交鋒
tablet                              藥片；丸；碑
sleeping tablet                安眠藥
tag                                   (名)標籤、(動)添加
tailor                                /ˈteɪlər/裁縫師
talent                               天才
of many talents               多才多藝
talkative                           多話的
tame                                (形)溫和的；平淡無奇的、(動)馴化
Life here is tame               這裡的生活平淡無奇
tangerine                          /ˈtændʒəriːn/橘子
tank                                  坦克
think tank                          智囊團
tap                                     拍打
tap out                            輕打拍子
tasty                                好吃的
tease                               /tiːz/欺負；戲弄；梳理
tease out                         梳頭髮
technical                           技術的
technical advisor               技術顧問
technique                           技術
He learns different marketing technique                 他學習不同銷售技巧
teenage                             十幾歲的
teenage problems            青少年問題
temper                              脾氣
He lost his temper              他發期氣
temporary                           暫時的
tend                                    易於做...
It tend to get hot here in summer               這裡夏天通常很熱
tend to                             傾向
They will tend to model their behaviour on the teacher's behaviour              他們傾向模仿老師的行為
tender                              柔軟的；嫩的；溫柔的；親切的
dwell                               居住
You dwell in teh most tender part of my heart               你在我心底最柔軟的地方
at a tender age                     在很小的時候
tent                                帳篷
Help me to take down a tent             幫我拆帳篷吧
terrific                            (名)可怕的?；極好的；巨大的
He feels terrific today                     他覺得今天很棒
territory                           領土
go with the territory                   成為必然結果
