L41
thankful                                感謝的
theory                                   理論
in theory                               理論上
thirst                                     口渴
thirst for something             渴望
thread                                  (名)線、(動)通過
hang by a thread                 命在旦夕
threat                                  /θret/威脅
threat against                      威脅
threaten                              (動)威脅
be threaten with                 以...威脅
thumb                                /θʌm/，b不發音(名)拇指、(動)笨拙地擺弄
tide                                    潮汐
Look! the tide is out               看! 退潮了
tight                                   緊的(地)
tighten                               變緊
tighten one's belt               省吃儉用；勒紧腰带过日子
timber                                木材
The villa is built of timber            這別墅是以木材建造
tobacco                               /təˈbækoʊ/菸草
imposed                             加強於；推行
ban                                     禁令；禁止
advertising                         廣告；宣傳；廣告業的
The government imposed a ban on tobacco advertising                 政府下令禁止做菸草廣告
ton                                     公噸
bricks                                 /brɪks/磚塊；積木；砌磚
like a ton of bricks             非常嚴厲
toss                                    拋；擲
He tossed the book to Emma          他把書拋向艾瑪
tough                                 /tʌf/牢固的；艱難的；堅強的
as tough as                        牢固的
tourism                              觀光
It leads to decreased tourism in the area               這導致此區域的觀光業減少
tourist                                觀光客
tourist class                       最便宜的客房
tow                                    /toʊ/拖曳
They threaten to tow away my car                    他們威脅說要拖走我的車
in tow                                緊跟著
tower                                 塔
tower of strength               可靠的人 (塔的力量??)
trace                                   追蹤
kick over the traces            不受拘束
trader                                  /ˈtreɪdər/商人；交易者
trail                                     (名)蹤跡；小徑、(動)跟蹤；；失敗；拖曳
hit the trail                          出發
transport                            運送
public transport                 公共交通事業
traveler                               旅客
fellow                                  /ˈfeloʊ/(名)家人；同事；會員、(形)同事的；同伴的
fellow traveler                     旅伴
tray                                     托盤
in tray                                 辦公室的收件盤





L42
trend                               /trend/趨勢
economic trend              經濟趨勢
tribe                                /traɪb/種族(部落)
intercession                    求情；斡旋；調解
His intercession could be of help to the tribe              他的調解可能會幫上該部落的忙
a tribe of                        一群
race                                種族(黑人、黃人)
tricky                              狡猾的
troop                               /truːp/軍隊
a troop of                      一群
tropical                          熱帶的
aquarium                       水族館
They visited a tropical aquarium yesterday          他們昨天參觀熱帶水族館
trumpet                         /ˈtrʌmpɪt/小喇叭(樂器)；宣揚；鼓吹
blow                              /bloʊ/吹；吹奏
blow one's own trumpet                  自吹自擂
trunk                             樹幹
trunk line                      幹線；主航線
truthful                         真實的
tub                               /tʌb/木盆
tub of flower               一盆花
tug                             (名)猛拉、(動)用力拉
forelock                     額髮
He tugs his forelock to his boos            他對老闆畢恭畢敬
tune                           (名)曲調、(動)協調
out of tune                 不融洽
tunnel                          (名)隧道、(動)鑿
light at the end of the tunnel                  曙光乍現
tutor                               (名)家教、(動)輔導
His tutor is very serious               他的家教老師很嚴格
twin                            雙胞胎之一
They are twins              他們是雙胞胎
twist                               扭轉
round the twist             瘋狂
underlying                      /ˌʌndərˈlaɪɪŋ/根本的
The underlying problem is lack of discussion            根本的問題是溝通不足
underwear                       內衣
one change of underwear                 換洗內衣
union                               合併
trade union                      工會
unique                              (形)唯一的、(名)獨一無二的人事物
a unique talent                 奇才
unite                                   使聯合
The two companies united in 2009            這兩鹼公司在 2009 合併
unity                               單一
unity of purpose                目標一致
urban                                   都市的
urban legend                        都市傳說
