L43
vacant                              空的
vacant lot                         空地
van                                   箱型車；麵包車(12人座)
vanish                              消失
vanish into thin air           不翼而飛
variety                              多樣化
various                             各式各樣的
various ways                    各種方法
vary                                  使變化
greatly                             非常；很
People's reaction to the film has varied greatly                人們對這部影片的反應很不一樣
vary with                          隨著...而變化
vase                                 花瓶
He put a vase of flowers on the balcony                         他把一瓶花放到陽台
vehicle                             交通工具
off-road                            越野；非公路上的
off-road vehicle               越野車輛
verse                               詩；多指詩句、詩行，也可作詩歌、韻文的總稱
poem                              /ˈpoʊəm/詩；指一首詩或詩體文
poetry                             /ˈpoʊətri/詩；詩的總稱
Free verse is a kind of poetry that has no real rhythm or pattern               自由詩是一種沒有實際節奏或形是的詩
vest                                背心
victim                             受害者
victim of crime               犯罪受害者
violence                          暴力
do violence to                破壞
violent                            猛烈的；暴力的
She had a violent headache              她頭劇烈疼痛
violet                              (形)紫羅蘭色的、(名)紫羅蘭 
shrink                             縮水；縮小；畏縮
a shrinking violet           羞怯的人
visible                             可見的
emotion                         情緒
no visible sign of emotion              不動聲色
vision                              視力
tunnel                              隧道；地道
tunnel vision                   視線狹隘
vitamin                             維他命
rich in vitamin                 富含維他命
vivid                                /ˈvɪvɪd/鮮明的
account                           帳號；解釋說明
give a vivid account        生動描述
vocabulary                      詞彙
volleyball                         /ˈvɑːlibɔːl/排球
volume                            /ˈvɑːljuːm/音量；體積；卷；量
speak volume about          對某事發言
voter                               投票者
She is a floating voter         她是中間(游離)選民
wage(s)                             /weɪdʒ/工資
His wages are paid on Monday            他的薪資是星期一發放
wagon                               /ˈwæɡən/四輪馬車；貨車
go on the wagon              滴酒不沾





L44
wander                          徘徊
warmth                          /wɔːrmθ/暖和
huddling                        /ˈhʌdlɪŋ/捲縮
huddling for warmth             抱成一團取暖
warn                                (動)警告
warning                           (名)警告
The policeman warned the robber                 警察警告搶匪
waterfall                           /ˈwɔːtərfɔːl/瀑布
wax                                   (名)蠟、(動)上蠟
wax light                           蠟燭
weaken                              使虛弱
Judy felt her heart weaken                  茱蒂感到心軟
wealthy                             富裕的
weapon                             /ˈwepən/武器
nuclear                             /ˈnuːkliər/原子能的；核能、核武器；原子核的 (丟下去就 clear 了)
nuclear weapon                核武器
weave                               /wiːv/(動)編織、(名)編織物
weave/work your magic                施展魔力
The warm weather and the beautiful scenery began to work their magic and she started to relax               溫暖的天氣和美麗的風景開始發揮魔力，她開始放鬆。
web                                  (名)蜘蛛網；網狀
spider's web                     蜘蛛網
wed                                  (動)結婚
wedding                           (名)婚禮、(動)結婚
weed                                (名)野草、(動)除草
weed out                          除去
weekly                              (形副)每周的(地)、(名)周刊
weep                                哭泣
weep over something             因為某是哭泣
wheat                               /wiːt/小麥
She needs two bags of wheat flour           她需要兩袋小麥粉
whip                                /wɪp/(名)鞭子、(動)鞭打
whip through                  匆匆完成
whistle                             (名)口哨、(動)吹口哨
wicked                             (形)邪惡的；缺德的；調皮惡作劇的
deed                                行為
a wicked deed                  缺德行為
widen                               /ˈwaɪdn/變寬
rage                                 憤怒；生氣
The professor's eyes widen in rage                  這位教授生氣地張大眼睛
wipe                                擦拭
wisdom                           智慧
wrap                                (動)包裹、(名)包裹物
warp up                          閉上嘴
wrist                                手腕
slap                                拍；打...一堆意思
slap on the wrist            輕微的懲罰





L45 (the Last page of Level3)
yearly                              (形)每年的、(副)每年
interest                            /ˈɪntrəst/興趣；利息；股份
yearly interest                 年利率
interesting                      有興趣的
yell                                  (動名)叫喊
yell at                              喊叫
yolk                                 蛋黃
youngster                       年輕人
zipper                             (名)拉鍊、(動)拉上拉鍊
stuck                               卡住；陷入；不知所措；黏住
The actor's zipper stuck            這演員的拉鍊卡住了
zone                                (名)地區、(動)分區成...
pedestrian                       /pəˈdestriən/行人
We can't drive on a pedestrian zone                 我們不能在步行區開車
