L1
abandon                         放棄
The kid has been abandoned by his father                這小孩被父親遺棄
absolute                         絕對
decree                            法令；判決；頒布
decree absolute             (協議離婚的)最終判決
absorb                            吸收
absorb into                     吸收；併入
abstract                          (形)抽象的、(名)摘要
in the abstract                理論上
academic                        學術的
probation                       試用期；緩刑
academic probation       留校察看
accent                            重音
primary accent               主重音
acceptance                    /əkˈseptəns/接受；承認
acceptance of suffering                 受苦難
access                            (名動)接近；(電腦)存取
random access               隨機存取
accidental                      偶然的
He thinks their meeint is accidental                他認為他們的相遇是偶然的
accompany                   陪伴
accompany on piano                  以鋼琴伴奏
accomplish                    (動)達成
This plan is accomplished.                     計畫完成
accomplishment            (名)完成
the accomplishment of something                 完成..事情
extraodinary                  /ɪkˈstrɔːrdəneri/超乎尋常的；令人驚奇的；卓越的；臨時的
By any standards, the accomplishment of the past year are extraordinary                     不管以哪種標準來衡量，過去一年都成果非凡
accountant                    會計師
He has been an accountant for ten years             他已經當會計師 10 年了
accuracy                        /ˈækjərəsi/正確
the accuracy of the information             資訊正確性
accuse                           控告
accuse of somebody          控告某人
acid                                /ˈæsɪd/(名)酸、(形)酸的
soils                               /sɔɪlz/土壤；領土、(動)弄髒
acid soils                        酸土
acquaintance                 相識；熟人；略有交情；泛泛之交
I am delighted to make your acquaintance, Mrs Baker                 貝克太太，我很高興可以認識您
of one's acquaintance                   某人所認識的
acquire                           取得
The boss acquired a new office              老闆買了新的辦公司





L2
adapt                           /əˈdæpt/改編；適應
adopt                           /əˈdɑːpt/採用；收養；選定；選舉
One of Emma's novels has been adapted into a movie              艾瑪的其中一部小說被改編成電影
addict                          /ˈædɪkt/(名)入迷的人、(動)使沉溺
He's addicted to computer game              他迷上電腦遊戲
He's only 24 years old and a drug addict            他只有 24 歲，卻毒品成癮
adequate                    /ˈædɪkwət/適當的
material                      (名)材料；原料；節目、(形)物質的；重要的；必要的

* can 的否定為 cannot，而縮寫為 can't，can not 不僅極為少用，甚至被視為錯誤
cannot 是正式用詞，而 can't 用於口語
cannot = can (be able to) 的否定形式
can not 只出現兩種情況中：一、not 為某固定片語的一部分；二、要特別強調 "not"

We cannot guarantee adequate supplies of raw materials              我們不能保障提供充足的原料
adjust                         調節
adjust to                     適應於
adjuestment               調節
She has made some adjustments to the project                她對專案已經做了一些調整
admirable                   /ˈædmərəbl/令人欽佩的
dedication                  /ˌdedɪˈkeɪʃn/奉獻；
He dedication to his family is admirable                她對家庭奉獻令人欽佩
admiration                              (名)欽佩
in admiration                           用....欽佩
widened                                  /ˈwaɪdnd/加寬；拓寬；擴展
Meg's eyes widened in admiration            梅格羨慕地睜大了雙眼
admission                               進入許可
apply for admission                申請許可
adopt                                      採取
adopt a child                           領養小孩
agency                                    代理商
employment agency               職業介紹所
agent                                      代理人
estate                                     /ɪˈsteɪt/私有土地；莊園；遺產；住宅區；工業區
Dora is an estate agent           朵拉是房地產經紀人
aggressive                              侵略的
agreeable                               令人愉快的
They had an agreeable night             他們有愉快的夜晚
alcohol                                   酒精
absolute alcohol                    純酒精
alert                                       (形)機警的、(動)使警覺、(名)警戒
on the alert                            緊急戒備中
allowance                               零用錢；津貼；補助
Her mom gave her an allowance of $200 a day                 她媽媽給她每天兩百元的零用錢
alternative                              二選一的；可供替代的；非傳統的；可供選擇的事物
have/has no alternative but             除此 ... 別無選擇
amateur                                 /ˈæmətər/(形)業餘的、(名)業餘愛好者
Frank is an amateur, not a professional                 法蘭克是業餘運動員，不是職業選手
ambiguous                            含糊不清的
Students have ambiguous feeling about their role in the world               學生們對於自己在這個世界上的角色認識模糊不清
statement                               陳述；報告；說明
an ambiguous statement              意義不明的說法
ambitious                               有野心的
be ambitious for somebody       對某人有野心
They were very ambitious for their children                 他們望子成龍心切
amuse                                       使歡樂
This show amuse them             這節目會逗他們笑
