L16
discouragement                              (名)氣餒
atmosphere of discouragement                灰心的氣氛
disguise                                            (動名)喬裝；偽裝；掩飾
She couldn't disguise the fact that she felt uncomfortable.                 她無法掩飾自己感到不舒服的事實。
a blessing in disguise                       因禍得福
disgust                                             (名)厭惡；反感、(動)使厭惡
He expressed his disgust at the film.                   他對這電影表示厭惡
disgusting                                        (形)令人厭惡的；令人氣憤的
dismiss                                             解散
The class is dismissed at 10:30.                    下課時間是十點半
disorder                                           (名)無秩序；混亂；疾病、(動)使混亂
The room was in a state of disorder                         房間凌亂不堪
eating disorder                                飲食失調
dispute                                             爭論
The union is in dispute with management over working hours.                 工會與管理階層就工作時間有爭議。
beyond dispute                                無疑地
distinct                                             有區別的；不同的；明顯的；清晰的
be distinct from                                與....不同
There was a distinct smell of gas.                  有一股明顯的煤氣味
distinguish                                       分辨
It is hard to distinguish who the older or younger sister is between the twins.                     這對雙胞胎很難分辨誰是姐姐誰是妹妹
distinguished                                   卓越的
a distinguished career                     卓越的生涯
He had a very distinguished career in the Foreign Office.                   他在外交部有著非常傑出的職業生涯
distribute                                          分配
be distribute for free                         免費分送
distribution                                        分配
normal distribution                             常態分配
district                                                轄區
financial district                                  金融區
disturb                                                 打擾
Don't disturb her                               別打擾她
diverse                                                 不同的；各式各樣的；形形色色的
Her friends are diverse                         她朋友很廣泛
diversity                                               不同點；多樣性；差異性
The students' individual diversity and their meaning of teaching.                       學生的個別差異及其教學意義
a wide diversity of opinions                    意見紛紜
divine                                                      /dɪˈvaɪn/神祇的；神聖的；神的；非凡的
She could divine what he was thinking just by looking at him.                   她只要看他一眼，就能猜出他在想什麼
divine right                                        王權神授
No player has a divine right to be in this team.                    沒有哪個選手天生就有權力留在這隊伍裡
divorce                                                 (名)離婚；脫離、(動)與...離婚
Lisa got divorce from Leon                  麗莎和里昂離婚
dodge                                               躲避
She doesn't like to play dodge ball                 她不喜歡玩躲避球
dominant                                           支配的；優勢的
The firm has achieved a dominant position in the world market.                      該公司已在世界市場上取得了主導地位
a dominnat position                         舉足輕重的地位
dominate                                          支配 
As a child he was dominated by his father                   他小時候由父親主宰一切





L17
draft                                               (名)草稿、(動)起草；草擬底稿
Do oyu know that she has written out a draft?                   你知道她已經擬好草稿了嗎?
dread                                           (動名)懼怕；擔憂；厭惡、(形)可怕的
He dreads seeing a doctor                   他超怕看醫生
drift                                               (動)漂流；無意間、(名)流動；水流；大意
The drift of the icebergs in the sea endangers the ships.               海中冰山的漂移危及船隻。
drill                                               鑽孔、訓練
The drill has variable speed control                    該鑽機具有變速控制
drill bit stock                                 股票(價格不到一美元)
drowsy                                          昏昏欲睡的
The concert may make us feel drowsy.                這音樂會可能會讓我們感到昏昏欲睡
durable                                         耐穿的
The jacket is made of durable meterial                  這夾克是用耐穿的材質做成的
dusty                                           附著灰塵的
become dusty                            變的煙霧瀰漫
dye                                             (名)染料、(動)染
He dyed his hair brown                  他把頭髮染成棕色
dynamic                                         動態的
dynamic buffering                           動態緩衝
dynasty                                         王朝；朝代
Han dynasty                                 漢朝
earnest                                         (形)認真的、(名)認真
earn                                              賺；贏得；掙錢
Danny is earnest about everything he feels interested in.               丹尼對他感興趣的事情都很認真
earphone                                        耳機
economic                                        (形)經濟上的；通常在經濟背景下使用，或指商品和服務的生產
council                                             理事會
she served on the council for economic development                  她曾在經濟發展委員會任職
economic cooperation                    經濟合作
economical                                      (形)經濟的；意味節儉或是很少浪費
the store brand is the economical choice                    商店品牌是經濟的選擇
Coke                                                焦炭
fuel                                                    /ˈfjuːəl/(動)燃料、(動)增加、刺激
Coke is an economical fuel but it leaves a lot of ash.                      可樂是一種經濟燃料，但會留下大量灰燼
economical with the truth                   沒完全說實話
economics                                       經濟學
home economics                              家政學
economist                                       經濟學家
He is an economist                          他是位經濟學家
economy                                         經濟
efficiency                                        效率
They discussed imporvements of fficiency in the company                         他們討論公司效率的提高
elastic                                             (形)有彈性的、(名)鬆緊帶
fairly                                                  相當地；簡直；竟然；公正地
fairly elastic                                      相當有彈性





L18
electronics                                     電子學
Tina works at an electronics industry                   緹娜在電子工業工作
elegant                                         優雅的
elementary                                  基本的
elementery school                       小學
eliminate                                       /ɪˈlɪmɪneɪt/消除；排除
credit cards eliminate the need to carry a lot of cash              有了信用卡就不用攜帶很多現金
eliminate ... from                      由...消除 
elsewhere                                 在別處
He will go elsewhere                他將到別處去
embarrass                                 使困窘；尷尬；使為難
She didn't mean to embarrass Larry.                 她不是故意讓萊利困窘
