L23
furious                             /ˈfjʊriəs/狂怒的；激烈的；暴怒的
be furious at                   對...大發雷霆
furnish                            供給
surrounding                   周圍；附近的
She furnished him with the facts surrounding the case.                      她向他提供了有關案件的事實
furnish with                    供應
furthermore                   再者；此外；而且
Furthermore, he felt tired.              再者，他覺得疲倦
gallery                             畫廊
gaze                                注視
sketch                              (名)草圖；素描；簡報、(動)概述；素描畫
He stood at gaze when I drew the sketch.                當我畫草圖時他站在那裡凝視
gaze into space              凝視前方
gear                                /ɡɪr/(名)排檔；齒輪、(動)使適合、當動詞有「使齒輪開始轉動；開啟機器」的意思
get into gear                   開始行動；開始工作
gender                            性別
gender differences          性別差異
gene                                /dʒiːn/基因
generation                      世代
older generation             老一輩的世代
generosity                       慷慨
We like his generosity.                     我們很喜歡他的慷慨
genius                             天才
genuine                          真正的
article                             文章；條約  
genuine article               真跡
germ                              /dʒɜːrm/微生物
breed                             繁殖；孕育；導致
breed for germs                 滋生細菌
gifted                              有天分的
be gifted with                  有...才氣
gigantic                            /dʒaɪˈɡæntɪk/巨人般的
Look at the gigantic cake           看這巨大的蛋糕
giggle                              (名)傻笑、(動)咯咯地笑
ginger                              (名)薑、(動)使興奮
ginger up                        使興奮
glide                               滑動
glide past                        滑行而過
glimpse                            /ɡlɪmps/瞥見
She caught a glimpse of the man             她一眼瞥見男子
globe                               地球
the globe                         世界
glorious                            光榮的
a glorious history              光榮的歷史
goods                               商品
consumer goods              消費商品
gown                                /ɡaʊn/女禮服
