L37
pessimistic                             /ˌpesɪˈmɪstɪk/悲觀的
He is a pessimistic man             他是悲觀的人
pest                                        害蟲；討厭者
phenomenon                          現象
a social phenomenon             社會現象
philosopher                             /fəˈlɑːsəfər/哲學家
philosophical                           /ˌfɪləˈsɑːfɪkl/哲學的
philosophical discussion            哲學討論
philosophy                              哲學
photography                           (名)攝影術
physical                                   身體的
physical examination                身體檢查
examination                             檢查；調查；考察
physician                                   /fɪˈzɪʃn/內科醫師；醫生
physicist                                   /ˈfɪzɪsɪst/物理學家
nuclear physicist                       核能物理學家
physics                                     /ˈfɪzɪks/物理學
pickle                                       醃製物；泡菜；醃菜、(動)醃製
dill pickle                                 醃黃瓜
dill                                            /dɪl/記某種青菜就好了；蒔蘿又或稱刁草；台灣稱茴香仔；
pioneer                                     /ˌpaɪəˈnɪr/(名)拓荒者、(動)開闢
Everyone should have a pioneering spirit.               每個人都要有拓荒者的精神
plentiful                                   豐富的
a plentiful ... of                       豐富的...
plot                                        (名)陰謀、(動)密謀
lose the plot                           不知所措
plum                                       李子
plumber                                 /ˈplʌmər/水管工，b居然不發音嗎
poisonous                              /ˈpɔɪzənəs/有毒的
highly poisonous                    劇毒
polish                                      擦亮
He polish his shoes.                他擦亮鞋子
popularity                                流行
increasing popularity               日益流行
portable                                    可攜帶的
portable chair                          可攜式椅子





L38
portray                                     (動)畫(人物)、；扮演
straw                                        稻草；吸管
drinking straw                          吸管；ストロー (Sutorō)
The Snow White was portray by Marie.                白雪公主由瑪莉扮演
Mary 主要出現在英語和聖經中，是 Maria 的英文形式，所以意思一樣
Maria 主要出現在法語、捷克語、德語、英語等等
possess                                     /pəˈzes/(動)擁有
process                                     /ˈprɑːses/過程
possession                                (名)擁有
postage                                    /ˈpoʊstɪdʒ/郵資
potential                                   (形)潛在的、(名)潛力
potential for                               對...有潛力
precise                                       /prɪˈsaɪs/精確的
to be precise                             更精確地說
predict                                      預測
predecessor                              /ˈpredəsesər/前輩；前任；被替代的事物
She worked hard to meet her predecessor                     她努力做事達到前輩標準
pregnancy                                (名)懷孕
pregnancy test                          驗孕
pregnant                                    (形)懷孕的
presentation                                贈送；提交
make a presentation                     報告
preservation                                  (名)保存
self-preservation                           自我保護
preserve                                        (動)保存
She does her best to preserve her reputation                她盡她所能維護她的名譽
reputation                                          名譽
