L43
revenge                                         (名)報仇、(動)替...報仇
revenge oneself on sb.                  向某人報復
revise                                             修正
He will revise his opinions.            他會修正他的意見
revision                                          (名)修正；複習
some minor revision                      一些小修正
minor                                             /ˈmaɪnər/少數；輕微；較少的
revolution                                      革命
Industrial revolution                      工業革命
revolutionary                                 (形)革命的、(名)革命者
He was a revolutionary leader       他曾是革命領袖
reward                                            /rɪˈwɔːrd/(名)報酬；獎勵、(動)報答
deserve a reward                           應得獎勵
rhyme                                            /raɪm/(名)韻腳、(動)押韻
nursery rhyme                               童謠
nursery                                          (名)嬰兒室；兒童室、(形)幼兒教育的
rhythm                                          /ˈrɪðəm/節奏
rhythm and blue                           藍調節奏
respond                                         回答
respond to                                    對...有反應
robber                                           強盜
romance                                        (名)浪漫；愛情；；戀愛；愛情小說、(動)追求；渲染；虛構故事
route                                             (名)路線、(動)給...定路線
en route                                        /ˌɑ̃ː ˈruːt/在途中
ruin                                               /ˈruːɪn/(動)毀滅；使破壞、(名)廢墟；毀滅；破產
in ruins                                         嚴重毀壞
The guide conducted us around the ruins of the ancient city.            導遊帶領我們參觀了古城遺址
conducted                                    實施；組織；直形；引導；安排
rural                                             /ˈrʊrəl/田園的；鄉村的
He enjoys rural life                       他享受田園生活
rusty                                             /ˈrʌsti/生鏽的
The man found a rusty car in the forest.                男子在森林裡發現生鏽的車子
sacrifice                                        犧牲
sacrifice fly                                   高飛犧牲打
satellite                                        /ˈsætəlaɪt/衛星
satellite TV                                   衛星電視
satisfaction                                  /ˌsætɪsˈfækʃn/滿足
to one's satisfaction                     使人滿足
scarcely                                        /ˈskersli/幾乎不
We scarcely eat out                     我們幾乎不外食
scenery                                        風景
enjoy the scenery                        欣賞風景
scold                                            /skoʊld/責罵
She scolded her for forgetting the date                     她因為她忘記約會而責罵她
scoop                                           (名)勺子、(動)用勺舀、較大的湯匙，具有長手柄和圓形碗狀末端，可以更好地拾取東西。例如燉菜、湯、冰淇淋等
one scoop of                                一勺的
spoon                                           湯匙、普通大小，用於正常飲食。





L44
scratch                                           /skrætʃ/(名)刮痕、(動)抓；搔；刮去(取消)；劃破
scratch-off                                     刮刮樂
You can scratch my name off the list                你可以把我的名字從名單上劃掉
sculpture                                        /ˈskʌlptʃər/(名)雕塑；雕像；雕刻品、(動)雕刻
Dr. Lee bought a lot of modern sculpture                李醫生買了很多現代雕塑
secure                                             /sɪˈkjʊr/(動)使安全、(形)安全的
rescue                                             拯救
she feels secure about life              她對生活感到安心
seize                                                /siːz/抓；抓住；把握；奪取
seize up                                           機器故障；停止運轉
The man were seized as they left the building                   這些人在離開那棟房子時被抓獲
The machine seized up this morning.                                 這台機器早上故障
settler                                              /ˈsetlər/移居者
settlers in the USA                            美國移民者
Many of them are descendants of the original settlers.                  他們中許多人都是早期移民的後裔
descendant                                       後裔；後代；子孫
severe                                               /sɪˈvɪr/嚴重的
severe winter                                    嚴冬
These policies could cause severe economic and social dislocation.                  這些政策可能引起嚴重的經濟和社會混亂
dislocation                                        制度、行程、生活方式的混亂
sew                                                    /soʊ/縫上
sew up                                               控制
Can you sew a button on for me?                 你能為我縫一個扣子嗎
button                                              /ˈbʌtn/按鈕；鈕扣；扣子；徽章
shade                                               (名)陰涼處、(動)遮蔽
put one in the shade                        使某人相形見絀
shady                                                陰暗的
He saw a shady character                 他看到可疑的人物
shameful                                           可恥的
a shameful behavior                         可恥的行為
shave                                                /ʃeɪv/修剪；刮臉；調低；降價
a close shave                                    僥倖脫險
The firm had shaved profit margins.                     公司調低了利潤率
margin                                               時間或票數上的幅度；差額；頁邊空白；白邊
