L45
slogan                                      標語
socket                                      插座；插孔；槽；窩
eye socket                                眼窩
Is the cable long enough to reach to the socket                 電線夠得著插座嗎？
software                                   軟體
solar                                         太陽的 (索爾 - 太陽神)
solar cell                                  太陽能電池
cell                                          細胞；電池；牢房
spade                                       /speɪd/鏟子
call a spade a spade                直言不諱
Press the soil flat with the back of a spade                        用鐵鍬背面把土拍平。
spare                                       /sper/(形)多餘的；備用的；空閒的、(動)節約、(名)備用品
go spare                                 氣急敗壞
Could you spare one of your staff to help us out?               你能不能從你手下抽一個人過來幫幫我們？
spark                                       (名)火花、(動)引發；觸發
Some bright spark left the tap running all night                    不知是哪個聰明人讓自來水流了一夜
tap                                          水龍頭
bright spark                             活潑的人；精明的人
He passed an electric spark through a mixture of gases.             他讓一束電火花穿過了一團混合氣體
sparkle                                     閃爍
She has sparkling eye                她雙眼有神
His usually dead grey eyes were sparkling.                      他那平日冷漠的灰眼睛突然亮了起來
spear                                       /spɪr/(名)矛、(動)用叉子叉
He speared a grape.                     他用叉子叉起一顆葡萄
species                                     /ˈspiːʃiːz/種類
a rare species                           稀有種類
There are no fewer than 100 different species in the area.              這個地區有不少於100個的不同物種
spiritual                                   /ˈspɪrɪtʃuəl/精神的
spiritual needs                         精神需求
The book describes a spiritual journey from despair to happiness.               這本書描述了從絕望到高興的心理變化過程
despair                                     /dɪˈsper/(名動)絕望
splendid                                   /ˈsplendɪd/(形)閃亮的；極佳的
This is a splendid idea.                    這是個極佳的主意
split                                          (動)劈開；分裂、(名)裂縫
split up                                     分成小組
sprinkle                                     (動)灑、(名)稀疏小雨
sprinkle with                             灑在...上面
Sprinkle the meat with salt and place in the pen.                       在肉上撒上鹽，然後放進平底鍋
stab                                          /stæb/刺；戳
stab in the back                       毀謗
She died of a single stab wound to the heart.                             她因心臟被刺中一刀而身亡
wound                                     /wuːnd/(名)傷口、(動)使受傷
statistic                                    統計值
unemployment statistic          失業統計
status                                       地位；狀態
a high social status                  社會地位高
stem                                        /stem/(名)莖、(動)起源於；阻止
stem from                                某事起源於
The cut was bandaged to stem the bleeding.                      傷口進行了包紮止血
bandage                                 /ˈbændɪdʒd/用繃帶包紮
stereo                                     立體音響
stereo system                         立體音響系統
stingy                                     /ˈstɪndʒi/有刺的；小氣的
The West is stingy with aid.                    西方在援助上有點吝嗇
aid                                          幫助；援助
stocking(s)                              /ˈstɑːkɪŋ/長襪
The kid wears a pair of stocking                    這小孩穿長襪
strengthen                              加強





L46
stripe                                             /straɪp/條紋
black and white stripes                 黑白條紋
strive                                             /straɪv/努力
strive for perfection                      爭取完美
stroke                                            /stroʊk/打擊
at one stroke                                 一下子
What a beautiful stroke                 擊球動作多漂亮呀！
submarine                                     /ˌsʌbməˈriːn/(名)潛水艇、(形)海底的
submarine sandwich                     潛艇堡
sue                                                控告
pursue                                           追求
She is suing me.                            她告我
suggestion                                    建議
summarize                                    總結
surgeon                                         /ˈsɜːrdʒən/外科醫生
His wife is a surgeon.                    她老婆是外科醫生
surgery                                         /ˈsɜːrdʒəri/外科醫學
cosmetic surgery                          整形手術
cosmetic                                       /kɑːzˈmetɪk/美容的；整容的；表面的
surrender                                       投降
surrender to                                   對某事投降
surroundings                                 環境
suspicious                                      可疑的
a suspicious look                           可疑的神情
sway                                              /sweɪ/搖動
sway in the wind                            在風中搖擺
syllable                                           音節
in words of one syllable                 簡單來說
Which syllable does the stress fall on?                 重音在哪個音節？
sympathetic                                   /ˌsɪmpəˈθetɪk/同情的
sympathy                                       同情
in sympathy with sth.                    因某事出現
systematic                                      有系統的
systematic approach                      有系統的方式
technician                                       /tekˈnɪʃn/技師
Her boyfriend was a technician              她男生曾是名技師
technological                                 科技的
high-technological                        高科技的
telegraph                                       (名)電報、(動)打電報
come by telegraph                        來自電報
telescope                                        望遠鏡





L47
tendency                                         傾向
tendency toward                             有...的傾向
tense                                               (形)緊張的、(動)拉緊
The man looked tense                    男子看起來很緊張
tension                                            緊張
feel the tension                                感到緊張
terror                                                恐怖
theme                                               主題
thorough                                          /ˈθɜːroʊ/徹底的
He is a thorough liar                       他是個十足的撒謊者
thoughtful                                       思慮周到的
be thoughtful of                             對 ... 更加注意
tickle                                               搔癢
give sb. a tickle                               給某人搔癢
timetable                                        時刻表
timid                                               羞怯的
The timid child doesn't talk to her             這害羞的孩子沒跟她說話
tolerable                                         可容忍的
tolerance                                         寬容
tolerant                                            寬容的
