L5
beloved 							(形)心愛的、(名)心愛的人
beloved by 							被喜愛
It was a gift from her beloved. 	那是她心愛的人送的禮物。
beneficial 							有益的
be beneficial for 					對...有幫助
betray 								背叛
He betrayed his friend. 			他背叛他朋友
beware 								當心；小心；提防
beware of 							小心...
Beware of saying anything that might reveal where you live. 		說話時要小心透露你的住址。
reveal 								顯示；透漏；展示
bias 								(名)偏見、(動)使存偏見
have a bias against 				對...有偏見
bid 								/bɪd/(名動)出價
bid for 							對...出價
The company submitted a bid for the contract to clean the hospital. 			該公司投標承包這所醫院的清潔工作。
submitted 							提交；主張；submit的過去分詞與過去式;
contract 							(名)合約、(動)使收縮；定合約
biological 							/ˌbaɪəˈlɑːdʒɪkl/生物學的
biological parents 					親生父母
bizarre 							/bɪˈzɑːr/奇異的
a bizarre story 					稀奇古怪的故事
blast 								爆炸
a blast of wind 					一陣疾風
All the windows broke with the force of the blast. 			爆炸的力量震碎了所有的窗戶
blur 								(名)模糊、(動)變得模糊
blush 								臉紅
He puts Emma to the blush. 			他讓艾瑪臉紅
bodyguard 							護衛者；保鑣；警衛
He is the rich man's bodyguard. 	他是富翁的保鑣
bolt 								(名)門栓、(動)栓上；狼吞虎嚥
a blot from the blue 				晴天霹靂
Don't forget to bolt the door 		別忘了栓上門。
bonus 								分紅
boom 								(名)隆隆聲、(動)發出隆隆聲
boost 								促進
boost one's ego 					增加某人的信心
ego 								/ˈiːɡoʊ/自我；自尊心
booth 								貨攤
There is a booth near the bus stop. 			公車旁有個貨攤
boredom 							/ˈbɔːrdəm/無聊
relieve the boredom 				打發無聊
relieve 							解除；減輕
bound 								跳躍
bound from 							彈回
boundary 							邊界
the boundary between two countries 			兩國之間的邊界
boxer 								拳擊手
breakthrough 						突破；重大進展
breakthrough in negotiations 		談判取得突破
This discovery was perceived as a major breakthrough. 			這項發現被視為一項重大突破。
perceived 							認為；查覺到；意識到
briefcase 							公事包
brief 								簡短的；簡潔的





L6
bronze 								/brɑːnz/(名)青銅、(形)青銅製的
He won a bronze medal 				他贏得銅牌
medal 								獎章；勳章
browse 								(動)瀏覽、(名)嫩枝
browse through 						翻閱；瀏覽
bruise 								/bruːz/(名)瘀青、(動)使瘀青
have bruise on one's face 			某人臉上瘀青
bulk 								/bʌlk/(名)體積、(動)使擴大
bulk out 							使某物加重
It's cheaper to buy in bulk 		大批購買便宜些
bully 								(名)霸凌、(動)威脅
bully for you 						幹得漂亮
bureau 								/byo͝orō/局；處
He went to an employment bureau. 		他去職業介紹所
bureaucracy 						/byo͝oˈräkrəsē/官僚；是一種理性化的管理組織結構，基本職能是執行決策者的經任命產生的官員所組成的大型組織。
unnecessary bureaucracy 			多餘的繁文縟節
burial 								埋葬
burial ground 						/ˈberiəl/墓地
butcher 							/ˈbʊtʃər/(名)屠夫、(動)屠殺
have a butcher's					看一看
Let's have a butcher's at your present, then.		那麽，讓我們來看看你的禮物吧。
Our people are being butchered in their homes. 		我們的人民在自己家裡遭到了屠殺。
calcium 							/ˈkælsiəm/鈣
Be sure you got daily quota a calcium. 				要確保每天的鈣攝取量。
quota 								配額；定額；定量
canal 								/kəˈnæl/運河
by canal 							通過運河
The city is dissected by a network of old canals. 			古老的運河網將這座城市分割開來。
dissected 							(動)解頗、(形)切開的、dissect的過去分詞與過去式
canvas 								(名)帆布、(動)用帆布覆蓋
under canvas 						在帳棚裡
capability 							能力
within capability 					在能力範圍裡
carbon 								碳
carbon fiber 						碳纖維
carnival 							/ˈkɑːrnɪvl/嘉年華會
They went to a carnival last night. 			他們昨晚去嘉年華會
casino								賭場
cathedral 							/kəˈθiːdrəl/大教堂；主教座堂；是一個教區主教（Bishop）的所在地，也是一個教區中心教堂的所在地
St. Paul's Cathedral 				聖保羅大教堂
caution 							(名)謹慎、(動)警告
throw caution to the wind(s) 		冒險
cautious 							/ˈkɔːʃəs/謹慎的
be cautious about 					對...謹慎 
celebrity 							名聲；名人
movie celebrity 					電影名人
cemetery 							/ˈseməteri/公墓
It is terrible to walk near a cemetery at midnight. 		半夜到公墓附近散步很恐怖
ceremony 							/ˈserəmoʊni/儀式
master of ceremonies 				司儀
certainty 							確實
for a certainty 					確實地





L7
certificate 						/sərˈtɪfɪkət/(名)證明書、(動)發證書
a marriage certificate 				結婚證書
chaos 								/ˈkeɪɑːs/大混亂
in chaos 							一片混亂
chapel 								/ˈtʃæpl/教堂；一般指規模和結構比較小的教堂，可以為獨立建築
church 								Church 所涵蓋的範圍則要大得多，一般指的是舉行宗教儀式、提供宗教服務、舉辦宗教活動的場所，教堂的規模也有大有小
Ringing the chapel bell is a tradition. 			敲響教堂的鐘聲是一項傳統
characterize 						/ˈkærəktəraɪz/具有...的象徵
chef 								廚師
choir 								/ˈkwaɪər/唱詩班；合唱團
school choir 						學校詩班
chord 								/kɔːrd/琴弦；和音
C chord 							C 和弦
vocal chord 						聲帶
chore 								/tʃɔːr/家庭雜物
He hates doing boring domestic chores. 			他討厭做家務雜事
domestic 							國內的；家庭的
chronic 							/ˈkrɑːnɪk/慢性的；長期的
chronic depressive 					長期憂鬱者
chubby 								圓胖的
This girl is chubby and cute 		這女孩圓滾滾很可愛
chunk 								/tʃʌŋk/厚塊
a chunk of 							大量的
The exams are taken in bite-size chunks over two years. 		這些考試零零碎碎，得兩年才考完。
bite-size 							很小的；適合入口的大小
circuit 							/ˈsɜːrkɪt/電路
This is a circuit diagram 			這是電路圖
cite 								引述
cite from 							引述
citizenship 						公民身分
Citizenship means responsibilities 					公民身分意味著責任
civic 								/ˈsɪvɪk/城市的
a civic leader 						城市領袖
clarity 							清楚
