L22
implement								(動)實施、(名)工具
implement decisions 					執行決議
implication 							含意；牽涉；影響
by implication 							間接含意
The implication took a while to sink in. 			其中的含意要花點時間才能完全領會。
sink in									充分被理解
impulse 								/ˈɪmpʌls/衝動
on impulse 								憑衝動做...事
incentive 								(名)刺激、(形)獎勵的
financial incentive 					工作獎金
incorporate 							包含
Incorporate exercise into your daily routine is good. 				將運動併入日常作息是好的
index									(名)索引、(動)表明
You can read the indexes first. 		你可以先看索引
indifferent 							不關心的
The government cannot afford to be indifferent to public opinion. 			政府不能對民意漠不關心。
afford 									/əˈfɔːrd/買得起、給予、提供
indigenous 								/ɪnˈdɪdʒənəs/本地的
The film intorduces Taiwan's indigenous peoples. 				那影片介紹台灣的原住民
indispensable 							/ˌɪndɪˈspensəbl/不可或缺的
TV becomes an indispensable part of people's lives. 			電視變成人們生活中不可或缺的部分
indulge 								/ɪnˈdʌldʒ/沉迷
indulge in 								沉迷某事
I indulged myself with a long hot bath. 						我盡情享受了一次長時間的熱水浴。
inevitable 								/ɪnˈevɪtəbl/不可避免的
It is an inevitable reaction. 			這是必然反應
infect 									使傳染
infect another person 					傳染給別人
infinite								無限的
with infinite patience 					無比耐心
infrastructure 							/ˈɪnfrəˌstrʌktʃə/基礎建設
Bridge, roads, and rail stations are transoirtation infrastructure. 			橋梁、道路以及火車都是運輸基礎建設
inhernet 								/ɪnˈhɪrənt/天生的；固有的；內在的
be inherent 							存在於
Violence is inherent in our society. 				在我們的社會中暴力是難免的。
inherit 								/ɪnˈherɪt/繼承
inherit a fortune 						繼承財產
initiate 								/ɪˈnɪʃiət/(動)開始、(形)新加入的、(名)初學者
initiate legal proceedings 				起訴
proceeding 								訴訟、過程
initiative								/ɪˈnɪʃətɪv/(名)主動的行動、(形)開始的
Helen doesn't have the initiative 		海倫沒有進取心
inject 									注射
inject into 							注射
injection 								注射
How many injections did the doctor prescribe. 				醫生開幾隻注射劑的處方？
prescribe 								規定；處方
inning 									(棒球比赛中)一局
He scored two home runs back to back in the 9th inning. 		他在第9局連續擊出兩支全壘打。
