L26
mattress 								/ˈmætrəs/床墊
He bought a new mattress 				他購買新床墊
meantime 								(名)其間、(副)同時
in the meantime 						同時
In the meantime the war of nerves seems likely to continue 				同時，心理戰似乎還可能繼續。
war of nerves 							心理戰
mechanism 								/ˈmekənɪzəm/機械裝置
a complex mechanism 					複雜的機器
medication								藥物
take medication 						服用藥物
mentor 									/ˈmentɔːr/導師
She is my life mentor 					她是我人生導師
merge 									合併
metaphor 								/ˈmetəfər/隱喻
mixed metaphor 							多種隱喻
metropolitan 							(形)大都會區、(名)大城市人
metropolitan districts 					都會區
districts 								區域；區
midst 									/mɪdst/(名)中間、(介)在...之中
in one's midst 							在...中間
She discovered it in the midst of sorting out her father's things. 				她在整理父親的東西時發現了它。
sorting 								把...分類、整理
migration 								/maɪˈɡreɪʃn/遷移
mass migration 							大規模遷移
mass 									大量；群眾；團
milestone 								/ˈmaɪlstoʊn/里程碑
What is your milestone 					你的里程碑為何？
miniature 								/ˈmɪnətʃər/(形)小型的、(名)縮圖
in miniature 							小規模
minimal 								最小的
a minimal amount of 					極小的
The work was carried out at minimal cost. 			這項工作是以最少的開銷完成的。
carry out 								執行；完成
minimize 								使減到最小
She minimize her faults 				她對自己的錯誤都輕輕帶過
mint 									薄荷
in mint condition 						完美
condition 								條件；狀態
The ice tasted of mint 					這冰有薄荷味
missionary 								(名)傳教士、(形)傳教的
You should be in missionary work. 		你應該從事傳教工作。
with missionary zeal 					熱忱
zeal 									熱情
moan 									/mōn/(名)呻吟聲、(動)呻吟；抱怨
moan in pain 							痛苦呻吟
mock 									/mɑːk/(形)假的、(動名)嘲弄
Don't mock people's accents 			不要嘲笑別人的口音
mode 									方式；模式
a mode of dress 						穿衣風格
modify 									修改
modify one's diet 						調節某人的飲食
molecule 								/ˈmɑːlɪkjuːl/分子
The atoms bond together to form a molecule. 			原子結合形成分子。
atom 									原子 
monopoly 								/məˈnɑːpəli/壟斷；專利
The company has a virtual monopoly in this area of trade. 			這家公司實質上已經壟斷了這種貿易。
morality 								/məˈræləti/道德
private morality 						個人道德問題
mortality 								/mɔːrˈtæləti/死亡
The mortality declined continuously. 			死亡率持續下降
