L27
mortgage 								/ˈmɔːrɡɪdʒ/抵押
Mortgage interest went up by 0.6%		抵押利息上漲 6%
interest 								/ˈɪntrəst/興趣；利益；利息
went up 								上升
motive									動機
no motive for sth. 						對某事沒動機
mount 									(名)底座、(動)登；爬上
The men mounted the top of the mountain in one hour only. 			那男子只花一小時就登上山頂
mumble 									(動)含糊地說、(名)喃喃自語；咕噥
mumble to oneself 						喃喃自語
He spoke in a low mumble, as if to himself. 			他低聲咕噥著，彷彿自言自語。
municipal 								/mjuːˈnɪsɪpl/市政的
municipal councils 						市政委員會
council 								/ˈkaʊnsəlz/委員會
He works in the municipal government. 			他在市政府工作。
muscular 								肌肉的
David is tall and muscular 				大衛高挑又肌肉發達
mustard 								/ˈmʌstərd/芥末醬；芥末
as keen as mustard 						非常熱心
keen 									渴望；熱衷的；激烈的
myth 									神話；神話故事
Helen is interested in ancient Greek myths. 			海倫對古希臘神話感興趣
naive 									/naɪˈiːv/天真的；無知的；幼稚的
He asked a naive question. 				他問了一個天真的問題
narrative 								(名)敘述、(形)敘事的
narrative poem 							敘事詩
The novel contains too much dialogue and not enough narrative. 				這部小說對話太多，敘述不足。
nasty 									令人作嘔的；骯髒的；不好的
get nasty 								變得令人討厭
I had a nasty feeling that he would follow me. 					我有一種極糟糕的預感：他會跟著我。
negotiation 							(名)協商
conduct negotiation 					進行協商
conduct 								行為；實施
neutral 								/ˈnuːtrəl/(形)中立的、(名)中立者
on neutral ground 						中立地區
Journalists are supposed to be politically neutral. 			新聞工作者在政治上應持中立態度。
politically 							政治上
nominate 								(動)提名
be nominate for 						獲得...提名
She was nominated to speak on our behalf. 			她被指派代表我們發言。
behalf 									代表；利益
nomination 								(名)提名
win the nomination 						贏得提名
nominee 								/ˌnɑːmɪˈniː/(名)被提名者
He is a presidential nominee. 			他被提名為總統候選人
nonprofit 								非營利的
Jay works for a nonprofit organization. 			杰在一家非營利組織工作
norm									/nɔːrm/基準
cultural norms 							文化規範
Deviation from the norm is not tolerated.  				不能容忍離經叛道行為。
deviation 								偏差；違背
noticeable 								顯著的
a noticeable difference					顯著不同
notify 									通知
be notify by post 						用信件通知
notion 									觀念
have/has no notion of 					不明白
Before I started the job, I had no preconceived notions of what it would be like. 				在開始做這項工作之前，我並未預想過它的實際情況。
preconceived 							/ˌpriːkənˈsiːvd/預想的；事先形成的
conceived 								設想；想像
nowhere 								(副)任何地方都不、(代)沒有地方
nowhere to be found 					任何地方都找不到
nutrient 								(名)營養物、(形)營養的
a supply of nutrient 					供給營養品
The nutrient is quickly leached away. 			養分很快就被濾掉了。
leach									/liːtʃt/過濾
