L29
overhead 								(副)在頭頂上、(形)頭上方的；高架的、(名)天花板
The birds flew overhead. 				鳥兒從頭頂飛過
flew 									/fluː/fly 的過去式
oversee 								監督
Her job is to oversee the frontliners. 			她的工作是監督前線工作者
overtake 								趕上
He overtake a car. 						他超車
overturn 								(動)使翻轉；翻轉、(名)翻轉
The truck hit the tree and overturned. 			卡車撞到樹並翻倒
overwhelm 								/ˌoʊvərˈwelm/壓倒；使不知所措
overwhelm with 							讓人不知所措
You may find it somewhat overwhelming at first. 			起初你可能覺得它有點無法抗拒。
parallel 								(形)平行的、(名)平行線、(動)使成平行
parallel with 							和...相比
The road and the canal run parallel to each other. 				道路與運河平行。
canal 									運河
participant 							參與者
an active participant 					積極的參與者
particle 								微粒
dust particle 							灰塵
partly 									部分地
The students is partly responsible for the failure.	 		這次失敗，學生們應負部分責任
passionate 								熱情的
a passionate interest in 				對...感到強烈興趣
pastry 									酥皮點心
He is bad at pastry 					他對點心不在行
patch 									(名)補釘；修補程序、(動)修補
eye patch 								眼罩
He had a black patch over one eye. 		他一隻眼戴著黑眼罩。
patent 									/ˈpeɪtnt/(名)專利權、(形)專利的、(動)給予...專利權
Have you applied for a patent 			你有申請專利嗎？
pathetic								悲慘的；可憐的
He is a pethetic loser. 				他是個悲慘的失敗者
patrol 									/pəˈtroʊl/巡邏
on patrol 								巡邏中
Highway patrol officers closed the road. 			公路巡警關閉了這條路。
patron 									/ˈpeɪtrən/資助者；顧客
a regular patron 						熟客
peasant 								/ˈpeznt/鄉巴佬；佃(ㄉ一ㄢˋ)農；農民
You are a peasant 						你真是個鄉巴佬
pedal 									/ˈpedl/(名)踏板、(動)踩踏板
brake pedal 							剎車版
I couldn't reach the pedals on her bike. 			我騎她的車搆不到腳蹬子。
pedestrian 								(名)行人、(形)徒步的
This is a pedestrian precinct 			這是行人專用區
precinct 								/ˈpriːsɪŋkt/步行區；警區；派出所
penetrate 								/ˈpenətreɪt/刺入
The knife penetrated her leg. 			刀子刺入她的腿
