L30
pension 								(名)退休金、(動)發給...退休金
How did the man use his pension? 		這男子如何運用退休金
perceive 								察覺
He preceive a stranger enter the room. 	他察覺到有陌生人進到房間
perception 								/pərˈsepʃn/感覺
visual perception 						視覺
performer 								實行者；表演者
She is a great performer 				她是很棒的表演者
persist 								堅持
persist in + Ving 						堅持某事
She persisted in her search for the truth. 	她执著地追求真理。
personnel 								/ˌpɜːrsəˈnel/人事部門
personnel management 					人事管理
Address your application to the Personnel Manager. 			把你的申請信寄給人事經理。
perspective 							/pərˈspektɪv/(名)透視圖、(形)透視的
linear perspective 						直線透視圖
linear 									/ˈlɪniər/直線的
pessimism 								/ˈpesɪmɪzəm/悲觀；悲觀主義
There was a mood of pessimism in Anna's family. 			安娜的家庭有股悲觀的氣氛
mood 									情緒；心情；氣氛
petition 								/pəˈtɪʃn/請願
She filed a petition for her children's custody. 			她請願訴請孩子的監護權
petty 									小的
petty things 							瑣事
phase									(名)階段；時期、(動)逐步採用
In phase 								協調
phrase 									片語
She's going through a difficult phase. 			她正處於困難時期。
photographic 							攝影的
photographic images 					圖像
pickup 									卡車
My uncle bought a new pickup 			我叔叔買了一輛新卡車
pier 									/pɪr/碼頭
They will wait at Pier 10. 				他們將在十號碼頭等
pillar 									/ˈpɪlər/梁柱；支柱
It is a marble pillar. 					那是大理石石柱
pipeline 								管道
an oil pipeline 						輸油管道
pirate 									/ˈpaɪrət/(名)海盜、(動)掠奪
Have they ever seen a pirate ship? 		他們看過海盜船嗎？
pitcher									投手
The pitcher is very popular 			這位投手很受歡迎
placement 								放置
He accrpted his placement in the company 			他接受在公司中的安排
plea 									/pliː/藉口；懇求；答辯
make a plea of 							懇求
She made an impassioned plea for help. 		她懇切地求救。
impassioned 							慷慨激昂；充滿熱情的
plead 									懇求
plead for 								辯護
I was forced to plead for my child's life. 				我被迫苦苦哀求給我的孩子一條生路。
pledge 									誓約；保證；抵押品
The government pledged their support for the plan. 			政府保證支持這項計劃。
plunge 									(名)猛跌、(動)將...插入
She plunge into the pool 				她跳入池中
