L33
pulse 									/pʌls/(名)脈搏、(動)使跳動
You should keep your finger on the pulse of fashion 			你應該要了解時尚的新情況
have/keep your finger on the pulse 		了解最新變化(進展)
purchase 								購買
He purchased a new belt 				他購買了一條新皮帶
pyramid 								/ˈpɪrəmɪd/金字塔
Johnny is interested in pyramids 		強尼對金字塔感興趣
qualify 								使合格
She qualified as a nurse last year. 	她去年獲得護士資格
quest 									探索
in quest of 							探詢；追求
I have not faltered in my quest for a new future			我對新的未來的追求從未動搖過。
faltered 								/ˈfɔːltərd/衰退；猶豫；動搖
questionnaire 							問卷；調查表
fill out a questionnaire 				填問卷
quiver 									/ˈkwɪvər/顫抖
His lips quivered 						他嘴唇微微顫抖
quota 									配額；限額
The quota of four tickets per person had been reduced to two . 			每人可購買的票的限額已經由四張降至兩張。
racism 									/ˈreɪsɪzəm/種族主義
He was a victim of racism 				他是種族主義的受害者
rack 									(名)架子、(動)把...放在架子上
go to rack and ruin 					變得亂七八糟
ruin 									(動名)破壞；毀滅；破產
radiation 								輻射
harmful rediations 						有害輻射物
ridical 								(形)根本的、(名)根部
TV has affected a radical change in prople's life. 			電視使人們生活發生了根本變化
ragged 									/ˈræɡɪd/破爛的
There are some ragged kids near the market. 				市場附近有幾個衣衫襤褸的孩子
raid 									突擊
raid on 								發動...攻擊
The family was killed in an air raid . 				這家人在一次空襲中遇難。
rail 									鐵路
He traveled by rail 					他去鐵路旅遊
rally 									(名)大集會、(動)重整
He went to a protest rally. 			他去參加抗議大會
protest 								抗議
ranch 									(名)大牧場；大農場、(動)在...經營牧場
ranch house 							牧場住宅
ramdom 									隨意的
at ramdom 								隨機
ratio 									比例
What is the ratio of boys and girls in this school? 		這間學校男女比例是多少？
