L4
backward(s)     向後地
backwards and forwards      來來回回
badminton       羽球
bake    烘烤
bakery  麵包店
balance     平衡
keep balance    保持平衡
balcony     陽台
ballon      氣球
bar     (名)酒吧；棒子、(動)阻擋
barbecue    (名)烤肉、(動)(在戶外)烤
barber  理髮師
bark    (名)吠聲、(動)狗吠叫
base    (名)基礎、(動)把...建立在某基礎上
basic(s)    (形名)基礎(複數為名詞形式)
get back to basic   反璞歸真
basis   基本原理
on the basis of A   以 A 為基礎
bathe   沐浴
battle  (名)戰役、(動)與...作戰
beard   /bɪrd/鬍子
He's growing a beard    他在留鬍子
bread   /bred/麵包
beat    (動)打、(名)節拍
beauty  美人
beholder    看(見)...的人；旁觀者
beauty is in the eye of the beholder    情人眼裡出西施
beer    啤酒
beg     乞求





L5
beginner    初學者
beginner's luck     新手運
behave  表現
being   生命
come into being     形成；誕生
believe     /bɪˈliːv/(動)相信；i的因發較長，尾音發v的音
belief        /bɪˈliːf/(名)信念；看法；相信；i的音發音較短，尾音發f的氣音
beyond      further away in the distance
beyond belief   難以置信
bend    (動)彎曲、(名)彎曲處
bend the truth  扭曲事實
better  (形副)更好的(的)、(名)較好的事物、(動)改善
beyond      (介副)超過；越過；晚於
beyond question     無庸置疑
bill    (名)帳單、(動)開帳單
billion    十億
birth   出生
give birth to   生孩子
biscuit     /ˈbɪs.kɪt/小餅乾
bit     小塊
blackboard  黑板
blame   責備
Don't blame her     別怪她
blank   (形)空白的；(名)空白
blanket (名)毛毯、(動)掩蓋
electric blanket    電毯
blood   血
It is like getting blood out from a stone   緣木求魚
board   (名)木板；(動)上(船、火車或飛機等)
take something on board     接納某事
on board    相較於「開始工作」，更確切來說 on board 的意思是「成為團隊的一員」，所以它是一種狀態，而不是一種動作
boil    沸騰
boiling with anger  怒火中燒
passionate  情緒激昂；熱情的；熱血沸騰
bone    骨頭
close to the bone   近乎猥褻的, 有可能冒犯某些人的
Her jokes are a bit close to the bone   她的玩笑有點直率
bookstore   書店
border  邊界
border on something  近乎；接近於
ridiculous      愚蠢的；荒唐的；可笑的
His suggestion borders on the ridiculous    他的建議近乎荒謬





L6
bother  (動)打擾、(名)麻煩
brain   頭腦
branch  (名)樹枝、(動)分支
brand   品牌
brand new   全新的；嶄新的
This is brand new   這是全新的
brief   (形)簡短的、(名)指示、(動)向...介紹
in brief    簡而言之
brilliant   明亮的
a brilliant career  事業一帆風順
board   /bɔːrd/(名)木板；(動)上(船、火車或飛機等)
broad   /brɑːd/寬闊的
brush   (名)刷子、(動)刷
building    建築物
bun  /bʌn/小圓麵包
burden  (名)負擔；負荷、(動)加負擔於
share the burden    分擔重量
burn    (動)燃燒、(名)燙傷(的痕跡)
pocket  口袋
burn a hole in one's pocket     換花錢
burst   (名)爆炸、(動)爆發、充滿；心情迫切
burst into something    突然爆發
businessman     商人
cabbage     甘藍菜；高麗菜(甘藍的變種)
cafe/café    /kæfˈeɪ/咖啡廳
cage    (名)籠子、(動)關進籠子裡面
rattle  嘎嘎聲；連續短促的碰撞聲；波浪鼓；響板
rattle someone's cage   to make someone feel worried or upset故意讓人惱火
Don't rattle her cage   別騷擾她啦
calender    日曆
calm    (動)使鎮定、(形)平靜的、(名)安靜
Calm down   冷靜
camel   駱駝；駝色
Jenny bought a camel skirt for her daughter     珍妮買一件駝色裙子給她女兒
cancel  取消
