L7
cancer  癌症
advanced ancer  癌症末期
candle  蠟燭
blow    吹；吹動；被吹走；吹響；吹奏
Blow out the candle now     現在吹熄蠟燭
capital (名)首府、(形)大寫字母的
cartoon     (名)卡通、(動)畫漫畫
cash    (名)現金、(動)把...兌換
pay by cash 付現
castle  城堡
cause   (名)原因、(動)導致
employment  受雇；就業
Unemployment    失業人數；失業率
employee    受雇者；雇員；員工
Unemployment is a cause of unhappiness  失業是造成不開心的原因
ceiling      /ˈsiː.lɪŋ/天花板
hit the ceiling     大發脾氣
cell    細胞
dry cell    乾電池
centimeter  公分
central     中央的
a central figure    中心人物
century     /ˈsen.tʃər.i/ a period of 100 years 世紀
cereal      穀類作物
breakfast cereal    早餐麥片
cereal crops    穀物
chain   (名)鎖鏈、(動)束縛
chain reaction      連鎖反應
chalk   (名)粉筆、(動)用粉筆寫
challenge   (名)挑戰、(動)向...挑戰
take up     拿...上去、帶...上去、接受、繼續
Neil took up the challenge      尼爾接受了挑戰
channel     (名)頻道、(動)傳送
chapter     章節
character   個性、角色
charge  收費、控告、批評、充電、指示
cover charge    服務費
chart       圖表
chase    /tʃeɪs/追補、匆忙趕往、追求、驅逐
chess    /tʃes/西洋棋
Many man chase Mary     許多人追瑪莉





cheat   (動)欺騙、(名)騙子
cheer   歡呼
cheer up    高興一點
chemical    (形)化學的、(名)化學品
chemical changes    化學變化
chief   (形)主要的、(名)首領；領導人
childhood   童年
childish    孩子氣的
china   /ˈtʃaɪ.nə/瓷器、中國
figure      數字、外形、人影、畫像、(女性的)身材、圖表、認為、出現、參加、計算
It is an expensive china figure     那是昂貴的瓷像
figure out      想出；算出；弄明白
chopstick(s)    筷子
claim   (名)聲明、(動)要求
clap    鼓掌
clap eyes on somebody   第一次注意到某人
classic     (形)古典的、(名)經典作品
classical   古典的
classmate   同班同學
clever  聰明的
The boy is clever and outgoing      這男孩聰明又活潑
click   (動)點擊滑鼠、(名)點選、使發出短而尖的聲音、成為朋友、恍然大悟
It clicked suddenly     茅塞頓開
climate 氣候
mild    溫和的；輕微的；(天氣)溫和的、溫暖的；(食物)不濃烈的、淡的、溫和隨和的
The climate is mild     氣候溫和
cloth   布料
coat    衣服、毛皮、塗上的一層、外加的一層
overcoat    長大衣
raincoat    雨衣
You should cut your coat according to your cloth    你要量入而出
clothing    衣服
a wolf in sheep's clothing  披著狼皮的羊
cloudy  多雲的
coal    /koʊl/煤炭
the coal industry   煤炭工業
coast   the land next to or close to the sea
cockroach/roach     蟑螂
cocoa       可可粉





L9
coin        (名)硬幣、(動)籌造(貨幣)、創造
the other side of the coin      事情的另外一面
cola/Coke   可樂
college 學院
comb    (名)梳子、(動)梳
comb something out  梳開
combine     合併
force   力量；暴力；武力；(物理上的)力；影響；影響大的人
combine forces  聯手
comic   (形)喜劇的、(名)連環漫畫
command     命令
commercial  (形)商業的、(名)商業廣告
company     公司
compare     比較
compare with    和...相比
complete    (形)完整的；完全的、(動)使完整
You are a complete zero     你這個窩囔廢
complex (形)複雜的、(名)情節
concern     涉及；使擔憂；對...很重要；擔心
have no concern with    與...無關
conclude    做出結論；定立
conclude with   以...結束
condition   (名)情況、(動)訓練
out of condition    健康狀態不佳
conflict    衝突
a conflict between A and B      A 和 B 之間的衝突
congratulation(s)   恭喜
connecttion     連接
in connection with  和...有關聯
consider    考慮
consideration   考慮
take into consideration     考慮到





L12
dentist     牙醫
deny        否認
department      部門；科系
depend      依賴
It depend.      視情況而定
depth       /depθ/深度
out of one's depth  某人無法理解
descript    描寫
description     描述
beggar  乞丐；傢伙；使極度貧窮
beggar description  難以描述
desert  (名)沙漠、(動)拋棄
design  設計
have design on  企圖得到抹某物
detail      (名)細節、(動)詳述
develop     發展
development     發展
housing development     住宅區
dial    (名)錶盤；旋鈕、(動)打電話；撥號
dialogue    對話
diamond     鑽石
diamond wedding     鑽石婚(結婚七十五年或六十週年紀念)
diary   日記
diet    (名)飲食、(動)節食
on diet     節食
different   差異
the world of different  兩碼子事
difficult   困難
with difficult  有困難地
direct  (形副)直接的(地)、(動)指揮
direct mail     直接郵寄的廣告信
direction   方向
sence of direction  方向感
director    指揮者；導演
