L13
disagree    不同意
disagreement    (名)意見不合
disappear     消失
disappear into thin air     不翼而飛
discover    發現
discovery   發現
the discovery of    發現...
discuss     討論
discussion  討論
disease     疾病
display     展示
on display  展列
distance    /ˈdɪs.təns/(名)距離
go the full distance    比賽打完整場
away    去(或在)別處；向另一邊；(距此)...遠；在老地方；在適當的地方；放到；放進(封閉的空間)；逐漸消失；將來；持續不斷地；(比賽)客場的
The department store is about 5 kilometers distance away        百貨公司大概在五公里遠處
distant     /ˈdɪs.tənt/(形)遙遠的；冷漠的
a distant country   遙遠的國家
divide      (動)分開；除以、(名)隔閡
division    分割
division sign   除號
domestic    內部的、家庭的
sort    類型；某一種人；把...分類；整理；修理
She is adomestic sort od person     她是那種喜歡待在家的女孩
dot     (名)小圓點、(動)在...上打點
the year dot    很久以前
double  (形)兩倍的、(動)加一倍、(名)一模一樣的人、(副)加倍地
reserve     把...專門留給；保留；預訂預約；拘謹；矜持；內向；儲藏(物)；自然保護區；禁獵區；遞補隊員
He reserved a double bed room       他預訂了一間雙人床的房間
doubt       懷疑
There is no doubt   這無庸置疑
dove       鴿子
coo     /kuː/(鴿子等)咕咕地叫；COO營運長
A dove cooed on the roof    鴿子在屋頂咕咕叫
download    下載
download limit  下載限制量
downstairs  /ˌdaʊnˈsterz/(副)向樓下、(名)樓下、(形)樓下的
I went downstairs to answer the phone   我去樓下接電話
dragon  龍
drama   戲劇
drama queen     喜歡小題大作的人





L14
drawer  抽屜
drawing     繪圖
drug    (名)藥品、(動)服毒品
dryer   烘乾機
tumble  跌倒；墜落；倒塌；(價值)暴跌
tumble dryer    滾筒烘衣機
due     (形)由於、(副)正對著、(名)應得之物
lateness    (名)遲到；(天色)晚
traffic     交通流量；運輸量；非法交易；(網路或網站的)流量
His lateness was due to the traffic jam     他遲到是因為塞車
dull     /dʌl/ (念"到") (形)乏味的、(動)使遲鈍
ditch       溝渠；壕溝；拋棄；丟棄；(使)飛機在水上迫降
ditchwater  水溝水
dull as ditchwater  索然無味
duty    責任
on duty     值班
off duty    下班
eagle   老鷹
eagle eye   目光銳利
earn    賺錢
earring(s)     耳環
earthquake  地震
ease    (名)容易、(動)減輕
eastern     東方的
edge    (名)邊緣；(動)緩慢移動
edition     /ɪˈdɪʃ.ən/版本
first edition   初版
education   教育
effect      (名)影響、(動)造成
come into effect    實施
effection   有效的
effort      努力
elder   (名)長者、(形)年長的
electric/electrical 電的
electric fan    電風扇
emphasize   強調
It should be emphasized that    強調的是





L15
employ  /ɪmˈplɔɪ/雇用
employment  雇用
agancy  代理機構；政府專門機構(局、部、處)；
employment agency   職介所
employee    員工
employer    雇主
empty       (形)空的；(動)使成空的
emotion     情緒
encourage   鼓勵
encouragement   鼓勵
ending  結尾
enemy   敵人
energy      能量
engin   引擎
engin on    發動機開著
entire   /ɪnˈtaɪr/完整的；全部的
entrance    入口
environmental   環境的
an environmental problem    環境問題
equal   (形)相當的；(動)相等；(名)同等重要的人或物
escpe   逃離
prisoner    /ˈprɪz.ən.ɚ/囚犯
jail    監獄；看守所；監禁
The prisoner escaped form the jail      囚犯從監獄逃出去
especially  尤其
essay   散文
an essay about the society  關於社會的散文
eve     前夕
christmas eve   聖誕節前夕
event   事件
in the event    結果
evil    (名)邪惡、(形)邪惡的
the evil day    倒楣的一天
