L16
exact   正確的
exactly     精確地；確切地；正好恰好；究竟
What exactly do you men?    你究竟是什麼意思
examination/exam    考試
sit for     應考；任(某選區)的議會議員
Frank will sit for an examination in English tomorrow   法蘭克明天會參加英文考試
examine     檢查；考核
excite  刺激
excitement  (名)(情緒上喚醒的狀態)興奮
thrill  (名)(由情緒引起的顫抖)興奮；激動；緊張感、(動)(使)興奮激動緊張 
Helen felt a thrill of excitement   海倫感到一陣激動
excuse  原諒
Excuse me   使用於要說或做可能令人不悅的事情之前、禮貌發問前，因為怕打擾對方的發語詞
Sorry   造成別人不便之後，表示歉意、做錯事情後道歉、表達遺憾的感覺（通常用於聽到對方親人過世、發生憾事、生活不順時
Pardon       做錯事道歉時、談話中提出不同想法之前、沒聽清對方的話，希望他重複一遍時、（以不友好的語氣）不同意對方的話
Apologize   對人道歉 to；因某事道歉 for
exist   存在
existence   存在
bring into existence    成立
exit    (名)出口、(動)出去
expense     花費
at one's expense    某人出錢
export      (名)專家、(形)專家的
express     (動)表達、(形)快速的、(副)以快遞方式寄送地、(名)快遞
expression  表達 
facial expression   臉部表情
extra   (形)額外的、(副)另外、(名)另外付費就可得到的額外物品
extra time  球賽延長
eyebrow/brow     /ˈaɪ.braʊ/眉毛
He raises his eyebrow   他大吃一驚
factor  (名)因素、(動)把...因素計入
factor in   列入
failure     /ˈfeɪ.ljɚ/失敗
fair    (形)公平的、(名)市集、(副)公正地
false   假的；人工的；虛偽的；虛假的；錯誤的
fashion (名)時尚、(動)手工製作
